date,region,product,revenue,churn,customers
2023-01-01,North,Alpha,94277.0,6.39,820
2023-01-01,North,Beta,89832.15,2.94,1266
2023-01-01,North,Gamma,90137.65,4.0,1463
2023-01-01,South,Alpha,84298.2,5.91,1108
2023-01-01,South,Beta,86733.85,3.1,1259
2023-01-01,South,Gamma,87123.81,5.67,1052
2023-01-01,East,Alpha,78725.58,5.67,1481
2023-01-01,East,Beta,86863.99,2.28,1499
2023-01-01,East,Gamma,85876.59,6.71,1362
2023-01-01,West,Alpha,75822.66,4.29,1043
2023-01-01,West,Beta,86989.32,5.65,820
2023-01-01,West,Gamma,91576.46,4.7,1073
2023-02-01,North,Alpha,87398.22,2.59,1139
2023-02-01,North,Beta,98232.08,3.45,1254
2023-02-01,North,Gamma,99511.6,3.04,880
2023-02-01,South,Alpha,94211.83,3.55,1187
2023-02-01,South,Beta,93062.05,5.28,1276
2023-02-01,South,Gamma,77882.31,,1355
2023-02-01,East,Alpha,96769.27,,1051
2023-02-01,East,Beta,92799.58,2.27,1095
2023-02-01,East,Gamma,94912.35,5.24,1016
2023-02-01,West,Alpha,96214.33,3.69,1179
2023-02-01,West,Beta,84928.81,2.99,1320
2023-02-01,West,Gamma,84264.91,6.63,1447
2023-03-01,North,Alpha,99617.0,6.63,1289
2023-03-01,North,Beta,98918.96,4.15,840
2023-03-01,North,Gamma,86125.65,4.22,1373
2023-03-01,South,Alpha,91616.09,3.95,898
2023-03-01,South,Beta,81380.91,5.37,1412
2023-03-01,South,Gamma,96865.67,7.83,1442
2023-03-01,East,Alpha,94929.77,6.63,1192
2023-03-01,East,Beta,103166.26,,1353
2023-03-01,East,Gamma,82734.98,7.37,1040
2023-03-01,West,Alpha,90434.36,3.89,895
2023-03-01,West,Beta,86925.67,5.63,1454
2023-03-01,West,Gamma,95367.6,6.53,835
2023-04-01,North,Alpha,94150.28,6.17,1377
2023-04-01,North,Beta,97456.63,5.75,1373
2023-04-01,North,Gamma,99607.81,6.82,1355
2023-04-01,South,Alpha,95501.26,4.5,1130
2023-04-01,South,Beta,87781.7,4.14,989
2023-04-01,South,Gamma,90681.55,2.66,1176
2023-04-01,East,Alpha,83754.27,2.99,1210
2023-04-01,East,Beta,86066.49,4.5,1476
2023-04-01,East,Gamma,85526.14,3.46,1173
2023-04-01,West,Alpha,99604.19,3.31,1271
2023-04-01,West,Beta,86598.6,7.83,1363
2023-04-01,West,Gamma,103027.71,3.48,1185
2023-05-01,North,Alpha,88691.71,7.99,1498
2023-05-01,North,Beta,97201.91,5.66,1441
2023-05-01,North,Gamma,90907.64,4.07,1184
2023-05-01,South,Alpha,93410.84,3.44,929
2023-05-01,South,Beta,76508.69,5.32,1046
2023-05-01,South,Gamma,104362.3,6.03,1002
2023-05-01,East,Alpha,84746.86,6.82,1409
2023-05-01,East,Beta,89322.27,5.8,1310
2023-05-01,East,Gamma,87066.25,2.24,1459
2023-05-01,West,Alpha,90035.92,3.96,1202
2023-05-01,West,Beta,100212.58,4.09,1288
2023-05-01,West,Gamma,98238.38,6.15,1439
2023-06-01,North,Alpha,103542.58,6.05,1272
2023-06-01,North,Beta,95259.54,3.25,1214
2023-06-01,North,Gamma,92302.78,5.96,1145
2023-06-01,South,Alpha,98692.85,7.89,1371
2023-06-01,South,Beta,95239.77,7.3,808
2023-06-01,South,Gamma,98311.17,3.67,1458
2023-06-01,East,Alpha,98453.59,7.32,919
2023-06-01,East,Beta,96878.89,7.33,1427
2023-06-01,East,Gamma,96384.02,2.06,1309
2023-06-01,West,Alpha,100731.81,7.64,952
2023-06-01,West,Beta,107860.42,5.91,1480
2023-06-01,West,Gamma,98116.83,3.06,1379
2023-07-01,North,Alpha,90341.74,6.48,1191
2023-07-01,North,Beta,87687.0,7.1,1200
2023-07-01,North,Gamma,98526.83,5.05,1269
2023-07-01,South,Alpha,82394.3,3.59,1469
2023-07-01,South,Beta,95060.29,7.35,1082
2023-07-01,South,Gamma,97988.06,,1076
2023-07-01,East,Alpha,114740.96,4.96,1252
2023-07-01,East,Beta,96256.36,3.38,1458
2023-07-01,East,Gamma,105958.94,2.26,971
2023-07-01,West,Alpha,98377.42,7.64,1276
2023-07-01,West,Beta,99848.83,6.49,836
2023-07-01,West,Gamma,93157.69,7.57,1296
2023-08-01,North,Alpha,111232.2,7.88,915
2023-08-01,North,Beta,107225.76,3.77,960
2023-08-01,North,Gamma,89917.67,5.34,1365
2023-08-01,South,Alpha,92809.24,6.18,1485
2023-08-01,South,Beta,98016.68,7.94,1438
2023-08-01,South,Gamma,90737.44,5.11,1185
